,Unnamed: 0,title,description,url,index
0,0.0,Transformative Businesses Are Born in Tough Times,"What with war, layoffs, and climate collapse, it’s easy to be pessimistic—but downturns often breed the most enduring companies.",https://www.wired.com/story/business-economy-startups/,0
1,1.0,Ukraine war: Odesa and Melitopol under attack,Russian drone attacks leave 1.5 million Ukrainians without power and Kyiv bombards occupied Melitopol.,https://www.bbc.co.uk/news/world-europe-63933132,1
2,2.0,A God of War TV show is officially coming to Amazon Prime Video,"Amazon’s rumored God of War Prime Video show has been picked up for a series order. The story sounds as if it will be similar to the 2018 game, and the director of that game is on board as an executive producer.",https://www.theverge.com/2022/12/14/23509418/god-of-war-amazon-prime-video-tv-show-series,2
3,3.0,Ukraine war: Moldova braces for blackouts,Residents say they are already struggling to cope with soaring energy prices and inflation.,https://www.bbc.co.uk/news/world-europe-63792499,3
4,4.0,Elon Musk is dragging Apple into the culture wars,"Tesla and SpaceX billionaire Elon Musk has recruited Republican partisans into his war on Apple for an alleged crackdown on the Twitter app, with an eye toward dodging Apple’s 30 percent fee on in-app purchases.",https://www.theverge.com/2022/11/30/23486572/elon-musk-twitter-apple-antitrust-payments-moderation-congress-republicans,4
5,5.0,Ukraine war: Odesa port reopens after energy network hit,The Black Sea port of Odesa has resumed operations after Russian strikes against the city on Saturday.,https://www.bbc.co.uk/news/world-europe-63943162,5
6,6.0,Buffalo blizzard: Storm turns city into 'war zone',Dozens of deaths are now linked to a fearsome winter storm blanketing much of the US and Canada.,https://www.bbc.co.uk/news/world-us-canada-64096509,6
7,7.0,Ukraine war TikToker's journey to safety in the UK,"Valeria Shashenok will be spending the festive season in London, not with her loved ones in Ukraine.",https://www.bbc.co.uk/news/newsbeat-64037867,7
8,8.0,Ukraine war: Zelensky delivers defiant Christmas message after Russian strikes,President Zelensky urges his people to persevere as Russian attacks leave millions without power.,https://www.bbc.co.uk/news/world-europe-64088046,8
9,9.0,Russia-Ukraine war: Strikes on Kherson kill seven,At least seven people are killed and dozens injured in Russian air strikes on the recently liberated city.,https://www.bbc.co.uk/news/world-europe-64085480,9
